neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,guests_included,extra_people,minimum_nights
29,1,0,6,1.5,2.0,3.0,3,16093.0,10000.0,2,2500.0,1
47,14,0,8,2.0,2.0,8.0,3,9962.0,2000.0,6,2000.0,2
51,1,0,5,1.0,1.0,1.0,3,19706.0,1642.0,2,1095.0,3
45,1,0,4,1.0,1.0,2.0,3,15984.0,4000.0,2,2000.0,2
50,10,0,3,1.0,1.0,0.0,3,8758.0,3500.0,2,3800.0,2
42,14,2,3,1.0,1.0,3.0,3,6021.0,2000.0,2,1000.0,1
49,14,2,2,1.0,1.0,1.0,3,4051.0,3000.0,1,2000.0,2
41,14,0,3,1.0,1.0,3.0,3,5474.0,5000.0,1,2000.0,2
20,12,2,2,0.5,1.0,1.0,3,6021.0,1500.0,1,1000.0,1
20,12,2,4,1.0,1.0,3.0,3,16969.0,2000.0,2,5000.0,1
20,11,0,2,1.0,1.0,2.0,3,5474.0,2000.0,1,3000.0,2
33,14,2,2,1.0,1.0,4.0,3,3503.0,1000.0,1,2000.0,1
47,1,0,5,1.0,2.0,3.0,3,7992.0,6900.0,3,4000.0,2
45,1,0,5,1.0,1.0,5.0,3,9525.0,5000.0,2,3000.0,1
33,14,2,2,1.0,1.0,2.0,3,3284.0,1000.0,1,2000.0,1
47,14,2,4,2.0,1.0,4.0,3,4051.0,1000.0,3,2000.0,1
19,14,0,6,1.0,2.0,4.0,3,12809.0,7000.0,4,1500.0,1
20,12,2,2,0.5,1.0,1.0,3,6021.0,1500.0,1,1000.0,1
46,10,0,5,2.0,2.0,3.0,3,12480.0,6500.0,2,1500.0,2
45,14,2,3,2.0,1.0,3.0,3,8977.0,5000.0,1,900.0,2
49,14,0,4,1.0,2.0,0.0,3,7992.0,2500.0,2,3500.0,1
29,14,2,2,1.0,1.0,2.0,3,5255.0,1000.0,1,1500.0,2
51,14,0,6,1.0,3.0,2.0,3,12480.0,5800.0,1,2600.0,2
43,1,0,4,1.0,1.0,2.0,3,14779.0,8211.0,2,0.0,3
46,1,0,4,1.0,1.0,1.0,3,13028.0,8500.0,2,2000.0,3
51,1,0,6,1.0,2.0,3.0,3,16312.0,10948.0,3,2737.0,2
33,14,2,2,1.0,1.0,2.0,3,9525.0,0.0,1,0.0,1
45,14,2,2,2.0,1.0,2.0,3,15984.0,5000.0,1,900.0,2
45,14,2,3,2.0,1.0,3.0,3,15984.0,5000.0,1,900.0,2
45,14,2,3,2.0,1.0,3.0,3,16093.0,5000.0,1,900.0,2
45,14,2,3,2.0,1.0,3.0,3,15984.0,5000.0,1,900.0,2
51,14,0,11,1.5,3.0,4.0,3,28026.0,9000.0,1,0.0,2
3,1,0,2,1.0,1.0,1.0,3,9525.0,4000.0,1,1500.0,3
46,16,0,10,2.0,2.0,6.0,3,8977.0,13000.0,4,3000.0,1
49,3,1,3,1.0,1.0,3.0,3,23538.0,0.0,2,3500.0,1
42,14,2,2,1.5,1.0,2.0,3,4489.0,2000.0,1,2500.0,2
